id,nome,url_icone,cor_fundo,ordem_exibicao,created_at
25,Hambúrgueres,https://storage.uptecnology.com.br/u/icone-burguer.png?ziplineFileId=cmd4v1xcm00mhqj019mf3s3y5,#240900,0,2025-07-15 15:14:26.468432-03
26,Pizzas,https://storage.uptecnology.com.br/u/icone-pizza.png?ziplineFileId=cmd4v1qmd00mgqj013xl29d17,#bd1447,2,2025-07-15 15:14:26.468432-03
27,Sorvetes,https://storage.uptecnology.com.br/u/icone-sorvete.png?ziplineFileId=cmd4v0y8p00mdqj01lkcc6fnn,#c851b8,4,2025-07-15 15:14:26.468432-03
28,Sobremesas,https://storage.uptecnology.com.br/u/icone-sobremesa.png?ziplineFileId=cmd4v19v300meqj01fbopiat4,#b3a400,1,2025-07-15 15:14:26.468432-03
29,Bebidas,https://storage.uptecnology.com.br/u/icone-bebida.png?ziplineFileId=cmd4v1hli00mfqj013us062rt,#00d8db,3,2025-07-15 15:14:26.468432-03
